TOTAL POI INVENTORY & CRITICAL WEIGHT ANALYSIS 2026
==========================================================================================

CITY: BIALYSTOK
Total recognized POI types: 79
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
arts_centre                    | T5_SPEC_GASTRO       |     1 |          618.66
fast_food                      | T5_SPEC_GASTRO       |    30 |          615.09
bar                            | T5_SPEC_GASTRO       |     2 |          608.50
chemist                        | T5_SPEC_GASTRO       |    11 |          583.56
cafe                           | T5_SPEC_GASTRO       |    16 |          578.10
pub                            | T5_SPEC_GASTRO       |    18 |          576.39
beauty                         | T5_SPEC_GASTRO       |    36 |          566.36
hairdresser                    | T5_SPEC_GASTRO       |    40 |          564.84
restaurant                     | T5_SPEC_GASTRO       |    57 |          559.78
playground                     | T6_MICRO_INFRA       |   130 |            8.60
fountain                       | T6_MICRO_INFRA       |    15 |            6.27
newsagent                      | T6_MICRO_INFRA       |     5 |            5.95
kiosk                          | T6_MICRO_INFRA       |    20 |            5.94
picnic_table                   | T6_MICRO_INFRA       |    18 |            5.76
vending_machine                | T6_MICRO_INFRA       |    20 |            5.75
toilets                        | T6_MICRO_INFRA       |    23 |            5.73
atm                            | T6_MICRO_INFRA       |    34 |            5.67
parcel_locker                  | T6_MICRO_INFRA       |    90 |            5.53

==========================================================================================

CITY: ELK
Total recognized POI types: 68
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
hangar                         | T0_MEGA_HUB          |     2 |     49165445.62
station                        | T0_MEGA_HUB          |    11 |     28003660.52
hospital                       | T1_REGIONAL_MAGNET   |     3 |     21293882.91
university                     | T1_REGIONAL_MAGNET   |     5 |     13965606.60
mall                           | T2_STRATEGIC_HUB     |     4 |      1606059.77
supermarket                    | T2_STRATEGIC_HUB     |    35 |      1110403.62
townhall                       | T2_STRATEGIC_HUB     |     5 |       907066.96
school                         | T2_STRATEGIC_HUB     |    50 |       841382.88
social_facility                | T2_STRATEGIC_HUB     |    10 |       817633.61
police                         | T2_STRATEGIC_HUB     |     4 |       727488.86
fire_station                   | T2_STRATEGIC_HUB     |    12 |       683924.47
courthouse                     | T2_STRATEGIC_HUB     |     2 |       583977.15
government                     | T2_STRATEGIC_HUB     |    31 |       545649.20
